Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-November-2021,1104.90,1118.65,1103.25,1112.90,1113.264217590957258919,2831,330,3151651.00,1629,57.54,15.40,8.00
3-November-2021,1110.00,1121.95,1085.00,1104.90,1110.451523289193443837,21598,1762,23983532.00,7268,33.65,36.95,-5.10
2-November-2021,1080.00,1124.45,1078.95,1106.80,1104.205682954840143740,26993,2235,29805824.00,9276,34.36,45.50,26.80
1-November-2021,1055.00,1086.50,1055.00,1072.60,1070.466722919523257040,9481,497,10149095.00,2477,26.13,31.50,17.60
29-October-2021,1069.00,1078.00,1051.20,1067.60,1066.360227474675670872,22508,2020,24001636.00,9565,42.50,26.80,-1.40
28-October-2021,1090.90,1102.10,1066.50,1071.10,1084.786561264822134387,11385,969,12350295.00,3241,28.47,35.60,-19.80
27-October-2021,1091.90,1104.00,1064.00,1081.35,1077.447080861692163596,35233,1945,37961693.00,5363,15.22,40.00,-10.55
26-October-2021,1094.00,1119.40,1060.60,1087.00,1097.842243846594161419,17470,1632,19179304.00,3762,21.53,58.80,-7.00
25-October-2021,1144.45,1144.45,1076.10,1081.00,1102.200252951096121416,30836,2242,33987447.00,8669,28.11,68.35,-63.45
22-October-2021,1175.00,1203.20,1104.25,1120.55,1144.116159947124917382,30260,2921,34620955.00,6083,20.10,98.95,-54.45
21-October-2021,1219.85,1219.85,1150.15,1167.65,1187.869023490713360135,30097,2768,35751294.00,6875,22.84,69.70,-52.20
20-October-2021,1240.05,1263.70,1189.80,1209.55,1219.082112421812686285,71463,5642,87119265.00,21197,29.66,73.90,-30.50
19-October-2021,1191.00,1292.00,1191.00,1230.75,1251.830560147903222939,112506,9620,140838449.00,43905,39.02,101.00,39.75
18-October-2021,1202.00,1214.00,1163.05,1192.50,1188.280190622853932116,48053,4265,57100428.00,13046,27.15,50.95,-9.50
14-October-2021,1104.40,1172.35,1103.30,1158.00,1134.200101629146007206,64942,5459,73657223.00,29179,44.93,69.05,53.60
13-October-2021,1118.95,1118.95,1076.00,1079.55,1084.160579027099814845,11882,1282,12881996.00,4157,34.99,42.95,-39.40
12-October-2021,1095.50,1109.00,1086.05,1092.35,1096.501341657083401785,18261,1364,20023211.00,5857,32.07,22.95,-3.15
11-October-2021,1117.20,1118.00,1083.50,1095.50,1097.095443570023251654,44728,3174,49070885.00,13333,29.81,34.50,-21.70
8-October-2021,1099.00,1124.00,1093.70,1117.20,1112.871394120137699968,54321,5154,60452287.00,33898,62.40,30.30,18.20
7-October-2021,1092.00,1107.05,1083.15,1091.90,1097.401102853032845840,20855,1731,22886300.00,8731,41.87,23.90,-0.10
6-October-2021,1055.00,1084.95,1055.00,1077.35,1072.833153036203663637,27732,2011,29751809.00,12057,43.48,29.95,22.35
5-October-2021,1051.70,1065.15,1038.05,1053.05,1052.934922370100830957,130813,2314,137737576.00,108054,82.60,27.10,1.35
4-October-2021,1071.00,1071.00,1047.65,1055.15,1053.427345482595699546,10371,1074,10925095.00,3874,37.35,23.35,-15.85
1-October-2021,1047.80,1077.90,1036.40,1058.60,1051.546048484153819703,17449,1397,18348427.00,4632,26.55,41.50,10.80
30-September-2021,1063.50,1069.55,1035.00,1062.60,1055.400537634408602150,17484,1468,18452623.00,4887,27.95,34.55,-0.90
29-September-2021,999.75,1059.40,976.00,1052.55,1014.929799843452979984,44715,3068,45382586.00,8584,19.20,83.40,52.80
28-September-2021,1049.00,1058.00,990.65,997.90,1020.191811797121849683,66779,4811,68127389.00,19098,28.60,67.35,-51.10
27-September-2021,1098.00,1098.00,1032.60,1042.40,1046.922067989129550373,61451,4635,64334408.00,21504,34.99,65.40,-55.60
24-September-2021,1064.00,1112.00,1064.00,1083.30,1093.568490952132568310,49846,2965,54510015.00,21186,42.50,48.00,19.30
23-September-2021,1105.00,1105.00,1057.45,1064.35,1075.727537578111805438,23684,2078,25477531.00,11861,50.08,47.55,-40.65
22-September-2021,1070.15,1110.50,1068.00,1091.35,1092.033230769230769230,21125,1138,23069202.00,4837,22.90,42.50,21.20
21-September-2021,1067.00,1087.00,1036.10,1070.15,1065.753610902807212024,61342,4192,65375458.00,28937,47.17,50.90,3.15
20-September-2021,1100.00,1112.30,1071.55,1085.85,1093.846106544211901403,326869,1599,357544383.00,306264,93.70,40.75,-14.15
17-September-2021,1112.40,1124.85,1080.90,1112.55,1102.290554732963740918,29041,2411,32011620.00,10135,34.90,43.95,0.15
16-September-2021,1119.60,1127.70,1085.55,1098.50,1104.400434736507263280,56586,4119,62493603.00,27352,48.34,42.15,-21.10
15-September-2021,1055.00,1148.00,1033.20,1111.40,1098.621058648251047122,106721,6970,117245938.00,24152,22.63,114.80,56.40
14-September-2021,1050.00,1059.00,1024.55,1040.00,1042.821946924151332968,16467,1435,17172149.00,5759,34.97,34.45,-10.00
13-September-2021,1010.00,1064.95,1000.40,1047.80,1036.270118105236422130,23623,2070,24479809.00,9211,38.99,64.55,37.80
